Parent Location ID,Level 0,QR ID, Type ID, Description
75107,Pallet-00403,19252,Movable Create/Pallet, 
75107,Pallet-00404,19253,Movable Create/Pallet, 
75107,Pallet-00405,19254,Movable Create/Pallet, 
75107,Pallet-00406,19255,Movable Create/Pallet, 
75107,Pallet-00407,19256,Movable Create/Pallet, 
75107,Pallet-00408,19257,Movable Create/Pallet, 
75107,Pallet-00409,19258,Movable Create/Pallet, 
75107,Pallet-00410,19259,Movable Create/Pallet, 
75107,Pallet-00411,19260,Movable Create/Pallet, 
75107,Pallet-00412,19261,Movable Create/Pallet, 
75107,Pallet-00413,19262,Movable Create/Pallet, 
75107,Pallet-00414,19263,Movable Create/Pallet, 
75107,Pallet-00415,19264,Movable Create/Pallet, 
75107,Pallet-00416,19265,Movable Create/Pallet, 
75107,Pallet-00417,19266,Movable Create/Pallet, 
75107,Pallet-00418,19267,Movable Create/Pallet, 
75107,Pallet-00419,19268,Movable Create/Pallet, 
75107,Pallet-00420,19269,Movable Create/Pallet, 
75107,Pallet-00421,19270,Movable Create/Pallet, 
75107,Pallet-00422,19271,Movable Create/Pallet, 
75107,Pallet-00423,19272,Movable Create/Pallet, 
75107,Pallet-00424,19273,Movable Create/Pallet, 
75107,Pallet-00425,19274,Movable Create/Pallet, 
75107,Pallet-00426,19275,Movable Create/Pallet, 
75107,Pallet-00427,19276,Movable Create/Pallet, 
75107,Pallet-00428,19277,Movable Create/Pallet, 
75107,Pallet-00429,19278,Movable Create/Pallet, 
75107,Pallet-00430,19279,Movable Create/Pallet, 
75107,Pallet-00431,19280,Movable Create/Pallet, 
75107,Pallet-00432,19281,Movable Create/Pallet, 
75107,Pallet-00433,19282,Movable Create/Pallet, 
75107,Pallet-00434,19283,Movable Create/Pallet, 
75107,Pallet-00435,19284,Movable Create/Pallet, 
75107,Pallet-00436,19285,Movable Create/Pallet, 
75107,Pallet-00437,19286,Movable Create/Pallet, 
75107,Pallet-00438,19287,Movable Create/Pallet, 
75107,Pallet-00439,19288,Movable Create/Pallet, 
75107,Pallet-00440,19289,Movable Create/Pallet, 
75107,Pallet-00441,19290,Movable Create/Pallet, 
75107,Pallet-00442,19291,Movable Create/Pallet, 
75107,Pallet-00443,19292,Movable Create/Pallet, 
75107,Pallet-00444,19293,Movable Create/Pallet, 
75107,Pallet-00445,19294,Movable Create/Pallet, 
75107,Pallet-00446,19295,Movable Create/Pallet, 
75107,Pallet-00447,19296,Movable Create/Pallet, 
75107,Pallet-00448,19297,Movable Create/Pallet, 
75107,Pallet-00449,19298,Movable Create/Pallet, 
75107,Pallet-00450,19299,Movable Create/Pallet, 
75107,Pallet-00451,19300,Movable Create/Pallet, 
75107,Pallet-00452,19301,Movable Create/Pallet, 
75107,Pallet-00453,19302,Movable Create/Pallet, 
75107,Pallet-00454,19303,Movable Create/Pallet, 
75107,Pallet-00455,19304,Movable Create/Pallet, 
75107,Pallet-00456,19305,Movable Create/Pallet, 
75107,Pallet-00457,19306,Movable Create/Pallet, 
75107,Pallet-00458,19307,Movable Create/Pallet, 
75107,Pallet-00459,19308,Movable Create/Pallet, 
75107,Pallet-00460,19309,Movable Create/Pallet, 
75107,Pallet-00461,19310,Movable Create/Pallet, 
75107,Pallet-00462,19311,Movable Create/Pallet, 
75107,Pallet-00463,19312,Movable Create/Pallet, 
75107,Pallet-00464,19313,Movable Create/Pallet, 
75107,Pallet-00465,19314,Movable Create/Pallet, 
75107,Pallet-00466,19315,Movable Create/Pallet, 
75107,Pallet-00467,19316,Movable Create/Pallet, 
75107,Pallet-00468,19317,Movable Create/Pallet, 
75107,Pallet-00469,19318,Movable Create/Pallet, 
75107,Pallet-00470,19319,Movable Create/Pallet, 
75107,Pallet-00471,19320,Movable Create/Pallet, 
75107,Pallet-00472,19321,Movable Create/Pallet, 
75107,Pallet-00473,19322,Movable Create/Pallet, 
75107,Pallet-00474,19323,Movable Create/Pallet, 
75107,Pallet-00475,19324,Movable Create/Pallet, 
75107,Pallet-00476,19325,Movable Create/Pallet, 
75107,Pallet-00477,19326,Movable Create/Pallet, 
75107,Pallet-00478,19327,Movable Create/Pallet, 
75107,Pallet-00479,19328,Movable Create/Pallet, 
75107,Pallet-00480,19329,Movable Create/Pallet, 
75107,Pallet-00481,19330,Movable Create/Pallet, 
75107,Pallet-00482,19331,Movable Create/Pallet, 
75107,Pallet-00483,19332,Movable Create/Pallet, 
75107,Pallet-00484,19333,Movable Create/Pallet, 
75107,Pallet-00485,19334,Movable Create/Pallet, 
75107,Pallet-00486,19335,Movable Create/Pallet, 
75107,Pallet-00487,19336,Movable Create/Pallet, 
75107,Pallet-00488,19337,Movable Create/Pallet, 
75107,Pallet-00489,19338,Movable Create/Pallet, 
75107,Pallet-00490,19339,Movable Create/Pallet, 
75107,Pallet-00491,19340,Movable Create/Pallet, 
75107,Pallet-00492,19341,Movable Create/Pallet, 
75107,Pallet-00493,19342,Movable Create/Pallet, 
75107,Pallet-00494,19343,Movable Create/Pallet, 
75107,Pallet-00495,19344,Movable Create/Pallet, 
75107,Pallet-00496,19345,Movable Create/Pallet, 
75107,Pallet-00497,19346,Movable Create/Pallet, 
75107,Pallet-00498,19347,Movable Create/Pallet, 
75107,Pallet-00499,19348,Movable Create/Pallet, 
75107,Pallet-00500,19349,Movable Create/Pallet, 
75107,Pallet-00501,19350,Movable Create/Pallet, 
75107,Pallet-00502,19351,Movable Create/Pallet, 
75107,Pallet-00503,19352,Movable Create/Pallet, 
75107,Pallet-00504,19353,Movable Create/Pallet, 
75107,Pallet-00505,19354,Movable Create/Pallet, 
75107,Pallet-00506,19355,Movable Create/Pallet, 
75107,Pallet-00507,19356,Movable Create/Pallet, 
75107,Pallet-00508,19357,Movable Create/Pallet, 
75107,Pallet-00509,19358,Movable Create/Pallet, 
75107,Pallet-00510,19359,Movable Create/Pallet, 
75107,Pallet-00511,19360,Movable Create/Pallet, 
75107,Pallet-00512,19361,Movable Create/Pallet, 
75107,Pallet-00513,19362,Movable Create/Pallet, 
75107,Pallet-00514,19363,Movable Create/Pallet, 
75107,Pallet-00515,19364,Movable Create/Pallet, 
75107,Pallet-00516,19365,Movable Create/Pallet, 
75107,Pallet-00517,19366,Movable Create/Pallet, 
75107,Pallet-00518,19367,Movable Create/Pallet, 
75107,Pallet-00519,19368,Movable Create/Pallet, 
75107,Pallet-00520,19369,Movable Create/Pallet, 
75107,Pallet-00521,19370,Movable Create/Pallet, 
75107,Pallet-00522,19371,Movable Create/Pallet, 
75107,Pallet-00523,19372,Movable Create/Pallet, 
75107,Pallet-00524,19373,Movable Create/Pallet, 
75107,Pallet-00525,19374,Movable Create/Pallet, 
75107,Pallet-00526,19375,Movable Create/Pallet, 
75107,Pallet-00527,19376,Movable Create/Pallet, 
75107,Pallet-00528,19377,Movable Create/Pallet, 
75107,Pallet-00529,19378,Movable Create/Pallet, 
75107,Pallet-00530,19379,Movable Create/Pallet, 
75107,Pallet-00531,19380,Movable Create/Pallet, 
75107,Pallet-00532,19381,Movable Create/Pallet, 
75107,Pallet-00533,19382,Movable Create/Pallet, 
75107,Pallet-00534,19383,Movable Create/Pallet, 
75107,Pallet-00535,19384,Movable Create/Pallet, 
75107,Pallet-00536,19385,Movable Create/Pallet, 
75107,Pallet-00537,19386,Movable Create/Pallet, 
75107,Pallet-00538,19387,Movable Create/Pallet, 
75107,Pallet-00539,19388,Movable Create/Pallet, 
75107,Pallet-00540,19389,Movable Create/Pallet, 
75107,Pallet-00541,19390,Movable Create/Pallet, 
75107,Pallet-00542,19391,Movable Create/Pallet, 
75107,Pallet-00543,19392,Movable Create/Pallet, 
75107,Pallet-00544,19393,Movable Create/Pallet, 
75107,Pallet-00545,19394,Movable Create/Pallet, 
75107,Pallet-00546,19395,Movable Create/Pallet, 
75107,Pallet-00547,19396,Movable Create/Pallet, 
75107,Pallet-00548,19397,Movable Create/Pallet, 
75107,Pallet-00549,19398,Movable Create/Pallet, 
75107,Pallet-00550,19399,Movable Create/Pallet, 
75107,Pallet-00551,19400,Movable Create/Pallet, 
75107,Pallet-00552,19401,Movable Create/Pallet, 
75107,Pallet-00553,19402,Movable Create/Pallet, 
75107,Pallet-00554,19403,Movable Create/Pallet, 
75107,Pallet-00555,19404,Movable Create/Pallet, 
75107,Pallet-00556,19405,Movable Create/Pallet, 
75107,Pallet-00557,19406,Movable Create/Pallet, 
75107,Pallet-00558,19407,Movable Create/Pallet, 
75107,Pallet-00559,19408,Movable Create/Pallet, 
75107,Pallet-00560,19409,Movable Create/Pallet, 
75107,Pallet-00561,19410,Movable Create/Pallet, 
75107,Pallet-00562,19411,Movable Create/Pallet, 
75107,Pallet-00563,19412,Movable Create/Pallet, 
75107,Pallet-00564,19413,Movable Create/Pallet, 
75107,Pallet-00565,19414,Movable Create/Pallet, 
75107,Pallet-00566,19415,Movable Create/Pallet, 
75107,Pallet-00567,19416,Movable Create/Pallet, 
75107,Pallet-00568,19417,Movable Create/Pallet, 
75107,Pallet-00569,19418,Movable Create/Pallet, 
75107,Pallet-00570,19419,Movable Create/Pallet, 
75107,Pallet-00571,19420,Movable Create/Pallet, 
75107,Pallet-00572,19421,Movable Create/Pallet, 
75107,Pallet-00573,19422,Movable Create/Pallet, 
75107,Pallet-00574,19423,Movable Create/Pallet, 
75107,Pallet-00575,19424,Movable Create/Pallet, 
75107,Pallet-00576,19425,Movable Create/Pallet, 
75107,Pallet-00577,19426,Movable Create/Pallet, 
75107,Pallet-00578,19427,Movable Create/Pallet, 
75107,Pallet-00579,19428,Movable Create/Pallet, 
75107,Pallet-00580,19429,Movable Create/Pallet, 
75107,Pallet-00581,19430,Movable Create/Pallet, 
75107,Pallet-00582,19431,Movable Create/Pallet, 
75107,Pallet-00583,19432,Movable Create/Pallet, 
75107,Pallet-00584,19433,Movable Create/Pallet, 
75107,Pallet-00585,19434,Movable Create/Pallet, 
75107,Pallet-00586,19435,Movable Create/Pallet, 
75107,Pallet-00587,19436,Movable Create/Pallet, 
75107,Pallet-00588,19437,Movable Create/Pallet, 
75107,Pallet-00589,19438,Movable Create/Pallet, 
75107,Pallet-00590,19439,Movable Create/Pallet, 
75107,Pallet-00591,19440,Movable Create/Pallet, 
75107,Pallet-00592,19441,Movable Create/Pallet, 
75107,Pallet-00593,19442,Movable Create/Pallet, 
75107,Pallet-00594,19443,Movable Create/Pallet, 
75107,Pallet-00595,19444,Movable Create/Pallet, 
75107,Pallet-00596,19445,Movable Create/Pallet, 
75107,Pallet-00597,19446,Movable Create/Pallet, 
75107,Pallet-00598,19447,Movable Create/Pallet, 
75107,Pallet-00599,19448,Movable Create/Pallet, 
75107,Pallet-00600,19449,Movable Create/Pallet,